Data Source,World Development Indicators,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Last Updated Date,2026-02-24,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Continent,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Special Notes
Spain,ESP,EU,,,,,,,,,,,,,,,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Estonia,EST,EU,5.79922267393686,5.3501386382342,5.63262459482781,5.00622635038663,5.45825961480219,,,,,5.98554615682483,6.4328960812571,6.92076077462722,7.31984100548004,7.14761096757053,7.48137356346664,"The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
Ethiopia,ETH,AF,1.58313884497581,,,,,1.53712664646205,,,,,,,2.30536939482055,1.88240185588798,3.07443235111137,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 7). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated by using an inflation-adjustment method. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2015-2024. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Finland,FIN,EU,5.46713759350844,4.98588532264381,4.84673867623693,4.80386337900043,4.72116027675574,6.071736932003,5.7048211115164,5.50169473168622,5.60048530967416,6.02259750148271,6.11659910863651,6.85825126917869,7.13858455463956,7.02404497165414,6.5992599753349,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Fiji,FJI,OC,6.74367319859391,6.96574804872727,5.40169195445781,5.06213273844673,4.14397898999251,6.31503052768253,5.0823107816622,4.70354957562876,4.31534914487971,3.61219869430723,3.48486148721148,4.69956146089797,4.76747303595571,5.0508801639066,5.17293303590566,
France,FRA,EU,6.70575815056405,6.51296096710792,5.969221683317,6.06124084481424,5.79481591812685,6.45927823172674,6.20228010144535,6.3051592230088,6.00998947983093,5.99287545534444,6.50709356740921,6.12652810278942,6.27624607704618,6.3611247320917,6.3457880935388,"The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
United Kingdom,GBR,EU,,,,,,,,,,,,,,,,
Georgia,GEO,AS,7.92958161451122,7.25392817087007,5.87258192682995,4.71162747209115,4.51098512121476,5.92596879012017,5.38121882188801,4.80734539701618,5.15370776665279,5.79811440881169,5.61968493135116,7.03561456289998,8.31716679921349,9.12796296054006,8.91481277731131,"Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas."
Ghana,GHA,AF,5.01945892246177,7.12947788853624,6.9390021067542,8.10754041385592,6.92313378591206,8.62651032178339,6.33378167698719,5.26041576350759,4.43654544222284,4.36482407031041,4.92022196430801,6.76331279736101,7.64980670523068,7.14648301275112,5.72337659827687,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1974-1987. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
"Gambia, The",GMB,AF,2.42422128370397,2.59749620996389,2.52931813138101,3.50835337156064,3.29781173251062,3.47173298357015,4.33949403253783,4.33832591132752,3.25436187377736,2.85558536781647,12.3737299999484,1.35336074913093,1.93226082862321,1.51611195210827,1.50349613176459,
