País,Sigla,Continente,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Hong Kong SAR, China",HKG,AS,11874000000.0,13588000000.0,15541000000.0,18237000000.0,20236000000.0,20291000000.0,27208000000.0,33169000000.0,37098000000.0,42426000000.0,46352000000.0,42491000000.0,37838000000.0,38170000000.0,42313000000.0
Honduras,HND,SA,420000000.0,465000000.0,515700012.207031,546599975.585938,619799987.792969,616099975.585938,626700012.207031,641500000.0,683700012.207031,618000000.0,706000000.0,671000000.0,585000000.0,610000000.0,601000000.0
Croatia,HRV,EU,6945000000.0,7625000000.0,8296000000.0,9617000000.0,11615000000.0,9300000000.0,8299000000.0,9598000000.0,8912000000.0,9715000000.0,10079000000.0,8207000000.0,9215000000.0,10534000000.0,11348000000.0
Haiti,HTI,SA,93000000.0,80000000.0,126000000.0,190000000.0,360000000.0,416000000.0,383000000.0,456000000.0,447000000.0,546000000.0,578000000.0,609000000.0,511000000.0,460000000.0,620000000.0
Hungary,HUN,EU,4009000000.0,4761000000.0,4998000000.0,5628000000.0,7533000000.0,7013000000.0,6595000000.0,7239000000.0,6149000000.0,6671000000.0,7483000000.0,6929000000.0,7481000000.0,8448000000.0,9618000000.0
Indonesia,IDN,AS,5226000000.0,5094000000.0,4890000000.0,5831000000.0,8150000000.0,6053000000.0,7618000000.0,9038000000.0,9463000000.0,10302000000.0,11567000000.0,12054000000.0,12566000000.0,14691000000.0,17915000000.0
India,IND,AS,6307000000.0,7659000000.0,8915000000.0,11234000000.0,12462000000.0,,,,18340000000.0,19042000000.0,20756000000.0,21472000000.0,23111000000.0,27878000000.0,29143000000.0
Ireland,IRL,EU,6075000000.0,6779000000.0,7668000000.0,9260000000.0,9972000000.0,8465000000.0,8185000000.0,9532000000.0,9255000000.0,10165000000.0,11101000000.0,11476000000.0,12649000000.0,14294000000.0,15276000000.0
"Iran, Islamic Rep.",IRN,AS,1305000000.0,1025000000.0,1464000000.0,1950000000.0,1978000000.0,2259000000.0,2631000000.0,2489000000.0,2483000000.0,3306000000.0,4197000000.0,4771000000.0,4634000000.0,4531000000.0,5252000000.0
Iraq,IRQ,AS,,186000000.0,170000000.0,555000000.0,867000000.0,1432000000.0,1736000000.0,1557000000.0,1640000000.0,1682000000.0,1938000000.0,2833000000.0,3120000000.0,2959000000.0,1986000000.0
Israel,ISR,AS,2908000000.0,3750000000.0,3736000000.0,4325000000.0,5401000000.0,4937000000.0,5638000000.0,5886000000.0,6183000000.0,6600000000.0,6616000000.0,6605000000.0,6616000000.0,7602000000.0,8048000000.0
Italy,ITA,EU,37893000000.0,38364000000.0,41666000000.0,46134000000.0,,,,,,,,41415000000.0,42423000000.0,46719000000.0,51602000000.0
Jamaica,JAM,SA,1733000000.0,1783000000.0,2094000000.0,2142000000.0,2222000000.0,2070000000.0,2095000000.0,2060000000.0,,,,,,,
Jordan,JOR,AS,1621000000.0,1759000000.0,2426000000.0,2754000000.0,3539000000.0,3472000000.0,4390000000.0,4351000000.0,5123000000.0,5145000000.0,5518000000.0,4968000000.0,4943000000.0,5549000000.0,6221000000.0
Japan,JPN,AS,14343000000.0,15554000000.0,11490000000.0,12422000000.0,13781000000.0,12537000000.0,15356000000.0,12533000000.0,16197000000.0,16865000000.0,20790000000.0,27285000000.0,33456000000.0,36978000000.0,45276000000.0
Kazakhstan,KAZ,AS,803000000.0,801000000.0,973000000.0,1214000000.0,1255000000.0,1185000000.0,1236000000.0,1524000000.0,2154000000.0,2365000000.0,2239000000.0,1833000000.0,2038000000.0,2356000000.0,2651000000.0
Kenya,KEN,AF,799000000.0,969000000.0,1181000000.0,1514000000.0,1398000000.0,1124000000.0,1620000000.0,1844000000.0,2004000000.0,1829000000.0,1745000000.0,1596000000.0,1472000000.0,1564000000.0,1784000000.0
Kyrgyz Republic,KGZ,AS,92000000.0,94000000.0,189000000.0,392000000.0,569000000.0,300000000.0,212000000.0,405000000.0,486000000.0,585000000.0,468000000.0,482000000.0,477000000.0,480000000.0,518000000.0
Cambodia,KHM,AS,673000000.0,929000000.0,1109000000.0,1169000000.0,1280000000.0,1463000000.0,1671000000.0,2258000000.0,2663000000.0,2895000000.0,3220000000.0,3419000000.0,3523000000.0,4024000000.0,4832000000.0
St. Kitts and Nevis,KNA,SA,103000000.0,121000000.0,132000000.0,125000000.0,110000000.0,83000000.0,90000000.0,94000000.0,95000000.0,101000000.0,343000000.0,317000000.0,332000000.0,355000000.0,367000000.0
"Korea, Rep.",KOR,AS,8222000000.0,8282000000.0,8437000000.0,9253000000.0,13440000000.0,13262000000.0,14315000000.0,17329000000.0,18731000000.0,19457000000.0,22390000000.0,18711000000.0,20924000000.0,17173000000.0,23104000000.0
