Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Hungary,HUN,2928000000,3562000000,3797000000,3646000000,3565000000,3733000000,4154000000,3728000000,4061000000,3914000000,4120000000,4254000000,4739000000,6443000000,5976000000,5587000000,5929000000,5057000000,5362000000,5864000000,5320000000,5674000000,6233000000,6887000000,7283000000,3229000000
Indonesia,IDN,5229000000,6184000000,6648000000,4255000000,4352000000,4975000000,5277000000,5285000000,4037000000,4798000000,4522000000,4448000000,5346000000,7377000000,5598000000,6958000000,7997000000,8324000000,9119000000,10261000000,10761000000,11206000000,13139000000,16426000000,16911000000,3312000000
India,IND,2582000000,2831000000,2890000000,2949000000,3010000000,3460000000,3198000000,3102000000,4463000000,6170000000,7493000000,8634000000,10730000000,11832000000,11136000000,14490000000,17708000000,17972000000,18397000000,19700000000,21013000000,22427000000,27365000000,28568000000,30720000000,13036000000
Ireland,IRL,2211000000,2470000000,2578000000,3297000000,2621000000,2615000000,2791000000,3097000000,3862000000,4375000000,4781000000,5372000000,6072000000,6359000000,4964000000,4085000000,4215000000,3866000000,4470000000,4864000000,4783000000,5199000000,5662000000,6782000000,6417000000,1858000000
"Iran, Islamic Rep.",IRN,67000000,19000000,16000000,490000000,403000000,467000000,891000000,1357000000,1033000000,1044000000,791000000,1216000000,1677000000,1737000000,2055000000,2438000000,2348000000,2345000000,3054000000,3841000000,4388000000,4288000000,4193000000,5024000000,,
Iraq,IRQ,18000000,15000000,14000000,15000000,1000000,2000000,15000000,45000000,,,168000000,144000000,516000000,845000000,1405000000,1660000000,1543000000,1634000000,1682000000,1938000000,2833000000,3120000000,2959000000,1986000000,3593000000,955000000
Iceland,ISL,186000000,176000000,173000000,207000000,222000000,227000000,232000000,256000000,319000000,370000000,413000000,478000000,601000000,624000000,550000000,562000000,752000000,866000000,1084000000,1396000000,1630000000,2429000000,3020000000,3134000000,2689000000,652000000
Israel,ISR,2993000000,3053000000,3295000000,3157000000,4304000000,4114000000,2560000000,2145000000,2132000000,2476000000,3189000000,3196000000,3672000000,4650000000,4314000000,4920000000,5161000000,5449000000,5831000000,5887000000,5899000000,5912000000,6834000000,7225000000,7620000000,2500000000
Italy,ITA,28717000000,30015000000,29714000000,29814000000,28349000000,27498000000,25829000000,26893000000,31277000000,35398000000,35310000000,38276000000,42650000000,46217000000,40407000000,38432000000,43271000000,40943000000,43825000000,45562000000,39433000000,40381000000,44580000000,49066000000,49521000000,20036000000
Jamaica,JAM,1069000000,1092000000,1131000000,1197000000,1280000000,1333000000,1232000000,1209000000,1355000000,1438000000,1545000000,1870000000,1910000000,1976000000,1925000000,2001000000,2013000000,2069000000,2074000000,2255000000,2401000000,2539000000,2809000000,3099000000,3599000000,1349000000
Jordan,JOR,660000000,744000000,774000000,853000000,795000000,723000000,700000000,1048000000,1062000000,1330000000,1441000000,2060000000,2311000000,2943000000,2911000000,3585000000,3425000000,4061000000,4117000000,4375000000,4065000000,4044000000,4639000000,5249000000,5786000000,1409000000
Japan,JPN,3224000000,4081000000,4329000000,3743000000,3431000000,3373000000,3306000000,3497000000,8848000000,11265000000,12430000000,8470000000,9345000000,10820000000,10329000000,13224000000,11000000000,14581000000,15093000000,18812000000,24968000000,30752000000,34065000000,42093000000,46054000000,10597000000
Kazakhstan,KAZ,122000000,199000000,289000000,407000000,363000000,356000000,452000000,622000000,564000000,718000000,701000000,838000000,1014000000,1012000000,963000000,1005000000,1209000000,1929000000,2108000000,2000000000,1632000000,1858000000,2135000000,2255000000,2463000000,459000000
Kenya,KEN,423000000,462000000,655000000,725000000,705000000,283000000,309000000,276000000,347000000,486000000,579000000,687000000,917000000,752000000,690000000,800000000,926000000,935000000,881000000,811000000,724000000,824000000,916000000,1072000000,1007000000,
Kyrgyz Republic,KGZ,5000000,4000000,7000000,8000000,14000000,15000000,24000000,36000000,48000000,76000000,73000000,167000000,346000000,514000000,253000000,160000000,356000000,434000000,530000000,423000000,426000000,432000000,429000000,459000000,644000000,151000000
Cambodia,KHM,53000000,82000000,68000000,107000000,212000000,304000000,380000000,454000000,389000000,603000000,840000000,992000000,1020000000,1101000000,1336000000,1519000000,2084000000,2463000000,2660000000,2953000000,3137000000,3212000000,3639000000,4362000000,4773000000,1023000000
