Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026-02-24,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Continent,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Special Notes,
"Iran, Islamic Rep.",IRN,AS,1044000000,791000000,1216000000,1677000000,1737000000,2055000000,2438000000,2348000000,2345000000,3054000000,3841000000,4388000000,4288000000,4193000000,5024000000,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1972-2024. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
Iraq,IRQ,AS,,168000000,144000000,516000000,845000000,1405000000,1660000000,1543000000,1634000000,1682000000,1938000000,2833000000,3120000000,2959000000,1986000000,,
Iceland,ISL,EU,370000000,413000000,478000000,601000000,624000000,550000000,562000000,752000000,866000000,1084000000,1396000000,1630000000,2429000000,3020000000,3134000000,,
Israel,ISR,AS,2476000000,3189000000,3196000000,3672000000,4650000000,4314000000,4920000000,5161000000,5449000000,5831000000,5887000000,5899000000,5912000000,6834000000,7225000000,,
Italy,ITA,EU,35398000000,35310000000,38276000000,42650000000,46217000000,40407000000,38432000000,43271000000,40943000000,43825000000,45562000000,39433000000,40381000000,44580000000,49066000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
Jamaica,JAM,NA,1438000000,1545000000,1870000000,1910000000,1976000000,1925000000,2001000000,2013000000,2069000000,2074000000,2255000000,2401000000,2539000000,2809000000,3099000000,,
Jordan,JOR,AS,1330000000,1441000000,2060000000,2311000000,2943000000,2911000000,3585000000,3425000000,4061000000,4117000000,4375000000,4065000000,4044000000,4639000000,5249000000,,
Japan,JPN,AS,11265000000,12430000000,8470000000,9345000000,10820000000,10329000000,13224000000,11000000000,14581000000,15093000000,18812000000,24968000000,30752000000,34065000000,42093000000,Fiscal year end: March 31, reporting period for national accounts data: CY.
Kazakhstan,KAZ,AS,718000000,701000000,838000000,1014000000,1012000000,963000000,1005000000,1209000000,1929000000,2108000000,2000000000,1632000000,1858000000,2135000000,2255000000,,
Kenya,KEN,AF,486000000,579000000,687000000,917000000,752000000,690000000,800000000,926000000,935000000,881000000,811000000,724000000,824000000,916000000,1072000000,Fiscal year end: June 30, reporting period for national accounts data: CY.
Kyrgyz Republic,KGZ,AS,76000000,73000000,167000000,346000000,514000000,253000000,160000000,356000000,434000000,530000000,423000000,426000000,432000000,429000000,459000000,,
Cambodia,KHM,AS,603000000,840000000,992000000,1020000000,1101000000,1336000000,1519000000,2084000000,2463000000,2660000000,2953000000,3137000000,3212000000,3639000000,4362000000,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1963-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
St. Kitts and Nevis,KNA,NA,103000000,121000000,132000000,125000000,110000000,83000000,90000000,94000000,95000000,101000000,343000000,317000000,332000000,352000000,366000000,,
"Korea, Rep.",KOR,AS,6065000000,5798000000,5717000000,6103000000,9735000000,9773000000,10263000000,12362000000,13273000000,14392000000,17460000000,14798000000,16886000000,13368000000,18567000000,,
Kuwait,KWT,AS,178000000,165000000,205000000,223000000,257000000,355000000,289000000,320000000,426000000,297000000,369000000,500000000,600000000,313000000,458000000,,
Lao PDR,LAO,AS,119000000,139000000,158000000,189000000,276000000,268000000,382000000,406000000,451000000,596000000,642000000,724000000,716000000,648000000,811000000,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
Lebanon,LBN,AS,5411000000,5532000000,4981000000,5216000000,5819000000,6774000000,7861000000,6545000000,6836000000,6492000000,6523000000,6857000000,7044000000,7610000000,8400000000,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1984-2024. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
St. Lucia,LCA,NA,326000000,382000000,294000000,302000000,311000000,296000000,309000000,321000000,337000000,354000000,778000000,810000000,776000000,875000000,963000000,,
Sri Lanka,LKA,AS,513000000,429000000,410000000,385000000,342000000,350000000,576000000,830000000,1039000000,1715000000,2431000000,2981000000,3518000000,3925000000,4381000000,,
Lesotho,LSO,AF,26000000,27000000,29000000,31000000,30000000,30000000,23000000,24000000,22000000,17000000,16000000,34000000,48000000,23000000,24000000,Fiscal year end: March 31, reporting period for national accounts data: CY.
Lithuania,LTU,EU,776000000,920000000,1038000000,1154000000,1248000000,972000000,958000000,1321000000,1317000000,1374000000,1383000000,1153000000,1210000000,1325000000,1504000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",
