Sigla,País,Ano,Region,IncomeGroup,Continente,Cultural Demand,Cultural Resources,Geographic Dispersion,Natural Resources,Natural Demand,Non Leisure Resources,Non Leisure Demand,Openness to Tourism,Prioritization of Tourism,Air Transport Infrastructure,Ground and Port Infrastructure,T&T Employment Multiplier,T&T GDP Multiplier,T&T Government Expenditure - % of Government Budget,T&T High-Wage Jobs -  % of Employment in High Wage Sectors,Domestic T&T spending - % of Internal T&T Spending,T&T industry Share of GDP - % of total GDP,T&T industry GDP
THA,Thailand,2024,East Asia & Pacific,Upper middle income,AS,3.1181741,2.8628769,4.1033556,4.5489828,3.5711457,4.1746991,3.4936167,4.3395783,4.1416442,4.8899117,3.7612051,1.0,2.6704861,2.7188588,3.039294,66.0011274,4.8031387,23711.9732
TJK,Tajikistan,2019,Europe & Central Asia,Lower middle income,AS,1.0512396,1.2878099,4.8571429,2.1629592,1.0128978,1.0843135,1.0039955,2.7272251,3.3242789,2.4928161,2.8173837,3.5226521,3.6945919,2.733931,5.304078,61.3282465,3.023242,221.028
TJK,Tajikistan,2021,Europe & Central Asia,Lower middle income,AS,1.0379783,1.2844946,4.8571429,2.1666978,1.0316432,1.0873313,1.016067,2.7360357,3.5943837,2.2828049,2.9391742,3.7771201,3.6847671,2.7443506,5.244532,76.7011986,1.3119817,106.079333
TJK,Tajikistan,2024,Europe & Central Asia,Lower middle income,AS,1.0407424,1.4601856,4.8571429,2.36612,1.0287541,1.1375714,1.0052838,2.6454419,3.2109514,2.3786668,2.9391742,3.8858154,3.8842289,2.7548325,5.244532,72.0922956,2.1392577,252.6638
TTO,Trinidad and Tobago,2019,Latin America & Caribbean,High income,SA,1.3437956,1.1859489,2.3421052,1.472952,1.1183344,1.1535455,1.0691804,4.3620148,4.521271,2.6570245,3.3275365,3.6501879,4.0305304,2.2627636,3.1753539,64.0309873,2.93191,779.5673
TTO,Trinidad and Tobago,2021,Latin America & Caribbean,High income,SA,1.0436115,1.2775695,2.3421052,1.4580209,1.0440407,1.273531,1.0750199,4.3752307,4.0624543,2.6156355,3.6628414,3.954389,4.2299473,2.2703516,3.6115234,85.237858,1.4110595,357.240468
TTO,Trinidad and Tobago,2024,Latin America & Caribbean,High income,SA,1.0421296,1.2771991,2.4732106,1.4747249,1.0427558,1.2858765,1.0608342,4.7136925,4.0156223,2.7247338,3.5958577,3.8547048,4.2180698,2.277985,3.6115234,74.0285352,2.7838545,738.238156
TUN,Tunisia,2019,Middle East & North Africa,Lower middle income,AF,1.2513986,1.5545163,2.9347825,1.9771044,1.2426973,2.6403099,4.9058738,3.4009218,5.2788064,3.0719462,2.7068202,1.9734508,2.3853786,5.4997102,4.4784156,52.9152715,8.047027,3265.902
TUN,Tunisia,2021,Middle East & North Africa,Lower middle income,AF,1.2665706,1.7083093,2.9347825,2.0105331,1.4096612,2.5869546,4.6924528,3.4207456,5.3069348,2.6013855,2.6657869,2.4969798,2.5682155,5.530114,4.835735,63.1675618,3.2061684,1253.102
TUN,Tunisia,2024,Middle East & North Africa,Lower middle income,AF,1.2653946,1.8330153,3.509463,2.0245041,1.4181297,2.640868,4.5639475,3.4256642,5.5978563,2.9491546,2.6919182,3.1155172,2.8311283,5.560971,4.835735,63.1673836,4.81408,2202.44384
TUR,Turkiye,2019,Europe & Central Asia,Upper middle income,AS,2.3497295,4.379099,2.8492064,2.6375372,2.1135308,3.8488992,3.1261873,3.8712443,5.3546837,5.2959809,3.6108207,7.0,4.4276605,4.4510176,4.2221727,38.6145063,4.287418,33783.9
TUR,Turkiye,2021,Europe & Central Asia,Upper middle income,AS,2.3753221,4.7438305,2.8492064,2.8204154,3.0380235,3.8492047,3.5914112,3.8580285,5.2474611,5.0076866,3.8214491,5.8556628,4.2722698,3.4476982,4.4033309,47.15699,1.7219193,12287.5595
TUR,Turkiye,2024,Europe & Central Asia,Upper middle income,AS,2.3723191,4.9597464,2.9230092,3.4993978,3.4626572,4.2260733,5.0308182,4.1639833,6.1240366,5.5004702,3.7236933,4.8036695,4.0730919,5.6345545,4.4033309,31.2707479,4.418604,39339.7369
TZA,Tanzania,2019,Sub-Saharan Africa,Lower middle income,AF,1.0675881,1.604397,4.0240965,4.694685,1.5740693,1.5561758,1.0797061,4.1539648,5.0279072,2.8040031,2.8990663,4.9313913,4.6637543,4.4660746,1.9603266,32.9268355,3.986837,2265.162
TZA,Tanzania,2021,Sub-Saharan Africa,Lower middle income,AF,1.0534129,1.6008532,4.0240965,4.7240918,1.7194917,1.5550141,1.0750594,4.1803965,5.0457626,2.9638337,3.3120705,7.0,6.1089889,4.4918385,2.2802877,46.0797029,1.2841466,848.3395
TZA,Tanzania,2024,Sub-Saharan Africa,Lower middle income,AF,1.076906,1.6067265,4.035365,4.7685245,1.7696687,1.5586291,1.0517521,4.220185,5.2967997,2.9430988,3.2933049,7.0,6.8408717,4.5182554,2.2802877,35.5084162,2.314331,1783.03647
URY,Uruguay,2019,Latin America & Caribbean,High income,SA,1.4345409,1.7253019,2.2647059,1.6381099,1.3498536,1.6320154,1.1023312,3.2032386,5.3693589,2.8796338,2.9807535,2.1554942,2.8730312,4.1131474,3.6340086,65.660577,9.129972,5534.021
URY,Uruguay,2021,Latin America & Caribbean,High income,SA,1.3139084,1.7201438,2.2647059,1.6587466,1.4005255,1.6387832,1.1294026,3.2032386,5.0093965,2.6031998,3.2632595,1.3757239,2.112685,4.1274508,3.9039575,78.2107637,5.0201797,2319.98682
URY,Uruguay,2024,Latin America & Caribbean,High income,SA,1.2832779,1.7124861,2.5820512,1.668753,1.3547038,2.1079538,1.1200065,3.2018494,4.563282,2.6591329,3.3114177,1.8146625,2.4712033,4.1418198,3.9039575,71.139814,6.692183,4727.90432
USA,United States,2019,North America,High income,,4.221227,5.0678068,5.0676694,6.029082,2.1454102,6.4105913,6.2439899,4.7702599,5.1997835,6.4095389,4.8105983,3.2651637,4.603394,4.1162944,3.3925801,81.1798944,2.707472,554872.9
USA,United States,2021,North America,High income,,3.6998737,4.9624684,5.0676694,6.1920053,2.9600266,6.6228404,7.0,4.7768679,4.974899,5.8175056,4.6650011,3.4145493,4.7290399,3.3959086,3.9159255,93.8600575,1.7014147,356153.0
USA,United States,2024,North America,High income,,3.9709402,5.0552351,5.0703273,6.2346382,3.1731911,6.6281634,7.0,4.777624,4.9392682,6.147923,4.4194403,4.1192394,5.2930657,4.5875764,3.9159255,91.0770934,2.437185,619778.8
VEN,Venezuela,2019,Latin America & Caribbean,,SA,1.5384546,1.8346136,1.7543859,4.3912645,1.3940553,2.3044331,1.5352701,2.8594905,4.3755554,2.1477978,1.8136333,3.6291596,3.894819,3.1699132,5.3105714,92.2888424,3.727964,3138.652
VEN,Venezuela,2021,Latin America & Caribbean,,SA,1.579945,1.8949863,1.7543859,4.4534673,1.6570059,2.2717444,1.3379881,2.8330588,4.1893764,2.023686,1.8766365,3.7427787,3.6640369,3.1836682,5.2576089,89.6694462,2.5388482,740.2319
VEN,Venezuela,2024,Latin America & Caribbean,,SA,1.6696773,1.9674193,2.0203342,4.519661,1.7434271,2.0477243,1.22134,2.845771,4.0828955,2.2629289,2.0849216,4.0963259,3.6811994,3.1975105,5.2576089,89.8081434,3.662698,1125.12469
VNM,Viet Nam,2019,East Asia & Pacific,Lower middle income,AS,2.6655683,2.5538921,4.40625,3.7675427,2.4627097,3.2456761,2.1911563,3.4291586,4.024716,4.1441293,3.1642841,1.0,1.0383628,1.880869,2.2347813,48.8555443,6.015519,14628.56
VNM,Viet Nam,2021,East Asia & Pacific,Lower middle income,AS,2.4932525,2.7274798,4.40625,3.816263,2.7064582,3.1864497,2.3155615,3.559562,3.8777499,4.3274052,3.6660975,1.0,1.0,1.887167,3.5430692,68.0399787,2.4150028,8235.678
VNM,Viet Nam,2024,East Asia & Pacific,Lower middle income,AS,2.3949114,2.8028945,4.3910287,3.7834244,2.2983701,3.0864274,1.6374827,3.6148869,3.6338146,4.035986,3.6532056,1.0,1.0,1.8935103,3.5430692,74.9439914,2.9992294,12114.3208
ZAF,South Africa,2019,Sub-Saharan Africa,Upper middle income,AF,1.6042018,2.5218838,3.2978723,4.7690807,2.4084723,3.8328258,1.6232015,3.9178309,4.3425393,3.9174083,3.3664465,1.7930901,4.4775816,1.3343261,5.8245263,55.9128383,2.810716,10499.09
ZAF,South Africa,2021,Sub-Saharan Africa,Upper middle income,AF,1.5582263,2.6770566,3.2978723,4.8793783,2.7904191,4.0546796,1.632397,3.9376547,4.4987404,3.6942044,3.2355409,1.7507229,4.2676313,1.3366342,6.6551487,66.6857414,1.340075,3988.06024
ZAF,South Africa,2024,Sub-Saharan Africa,Upper middle income,AF,1.5373592,2.6718398,3.9551766,4.855707,2.5077015,4.1900305,1.5321722,4.3509949,4.3797386,3.6878176,3.3270312,2.5087331,3.9489807,1.3389585,6.6551487,76.8937108,2.4589713,9988.012
ZMB,Zambia,2019,Sub-Saharan Africa,Lower middle income,AF,1.0944677,1.2736169,2.9555554,3.1030418,1.1054369,1.3299493,1.0153242,2.9973265,3.8774142,2.281986,2.5546752,3.6982895,3.1638344,2.301676,5.2735794,46.9155859,3.139535,811.3219
ZMB,Zambia,2021,Sub-Saharan Africa,Lower middle income,AF,1.1008223,1.3252056,2.9555554,3.1241038,1.1362918,1.2743135,1.0145819,3.006137,4.0968725,2.2362822,2.549711,3.9199472,3.4396222,2.310892,5.4236372,44.6320389,1.6468341,318.3601
ZMB,Zambia,2024,Sub-Saharan Africa,Lower middle income,AF,1.0712887,1.3678222,3.3517835,3.1395323,1.1605353,1.2923353,1.0260591,3.2776914,3.9431489,2.2899673,2.5376582,4.1928517,3.7388032,2.3201688,5.4236372,51.4911313,1.7501637,498.401284
ZWE,Zimbabwe,2019,Sub-Saharan Africa,Lower middle income,AF,1.1038035,1.3009509,3.23077,2.9365617,1.0724072,1.5145915,1.0337207,3.6280338,4.2014102,2.145741,2.2580057,3.7214201,3.6301971,2.586664,4.7596776,77.6245893,2.368955,422.4195
ZWE,Zimbabwe,2021,Sub-Saharan Africa,Lower middle income,AF,1.0874762,1.3468691,3.23077,2.9427473,1.1031836,1.4404514,1.0374964,3.6346417,3.3345512,2.1121489,2.3430736,4.3094941,4.0003618,2.6081017,5.115527,92.0091916,1.4690509,223.032326
ZWE,Zimbabwe,2024,Sub-Saharan Africa,Lower middle income,AF,1.075627,1.3439067,3.3449168,2.953876,1.1059967,1.4492021,1.0311342,3.7039849,2.7837246,2.2029834,2.3774628,4.3748403,3.9976118,2.62953,5.115527,82.7514308,2.0878518,433.014
