Sigla,País,Ano,Region,IncomeGroup,Continente,Cultural Demand,Cultural Resources,Geographic Dispersion,Natural Resources,Natural Demand,Non Leisure Resources,Non Leisure Demand,Openness to Tourism,Prioritization of Tourism,Air Transport Infrastructure,Ground and Port Infrastructure,T&T Employment Multiplier,T&T GDP Multiplier,T&T Government Expenditure - % of Government Budget,T&T High-Wage Jobs -  % of Employment in High Wage Sectors,Domestic T&T spending - % of Internal T&T Spending,T&T industry Share of GDP - % of total GDP,T&T industry GDP
BRA,Brazil,2021,Latin America & Caribbean,Upper middle income,SA,3.6135068,5.4908767,3.1702127,6.2291069,3.1455345,4.2262687,2.1946561,4.6055367,4.3093958,3.7727805,2.7286051,5.499737,4.8897703,2.7381614,3.9269088,94.3506002,1.6815974,23642.5018
BRA,Brazil,2024,Latin America & Caribbean,Upper middle income,SA,3.3974747,5.4368687,3.0637045,6.1906723,2.9533615,4.3747783,2.2322721,4.6925879,4.1621131,3.8842379,2.7267206,6.1254845,5.1592781,2.7462133,3.9269088,95.1139114,2.4805558,46116.27
BRB,Barbados,2019,Latin America & Caribbean,High income,SA,1.4017454,1.1254364,3.25,1.2282221,1.430076,1.0491943,1.0433194,3.994462,5.9150576,4.0611022,4.1160594,4.0596929,4.632277,7.0,1.6239276,9.9979133,11.08279,514.008
BRB,Barbados,2021,Latin America & Caribbean,High income,SA,1.3063732,1.1015933,3.25,1.2500824,1.5393776,1.0516677,1.0532133,4.0076779,5.740183,4.0615791,3.9572632,3.8010776,4.2954879,7.0,1.8033956,12.7756087,6.561017,267.174751
BRB,Barbados,2024,Latin America & Caribbean,High income,SA,1.2929664,1.0982416,3.06667,1.2553499,1.4829033,1.0696952,1.0548799,4.6076069,5.5207972,4.0671872,3.854286,3.6318092,4.0315543,7.0,1.8033956,11.5794883,8.071211,440.384626
CAN,Canada,2019,North America,High income,,3.7201806,2.9425452,4.4099617,5.5787823,4.224946,6.274193,6.6162697,4.0040662,4.8979902,6.0260398,3.7599912,2.0334635,5.3708042,3.5968834,2.6629877,76.2758491,1.959602,33995.69
CAN,Canada,2021,North America,High income,,2.5544263,2.6761066,4.4099617,5.6600367,4.6312181,6.4543576,7.0,4.0134412,4.6443556,4.8783633,3.8046109,2.2242626,5.4495642,2.8257559,3.0908159,81.1639614,0.9341536,15336.8311
CAN,Canada,2024,North America,High income,,2.641596,2.8895657,4.7728752,5.6005175,4.296214,6.3776002,7.0,4.0009777,4.5504174,5.366735,3.7405918,2.6093978,5.4337786,3.4686556,3.0908159,78.41328,1.5960174,33968.6279
CHE,Switzerland,2019,Europe & Central Asia,High income,EU,2.3883614,1.9720903,4.1976743,2.5390542,3.1423942,4.5164353,2.3576809,4.6594809,5.6864261,6.3088274,6.2520386,4.8657988,5.2953762,5.121529,2.0536279,56.4221587,2.694272,19079.06
CHE,Switzerland,2021,Europe & Central Asia,High income,EU,2.2862224,2.1465556,4.1976743,2.9901204,4.2414835,4.461012,2.1870816,4.6726968,5.3495656,4.8995722,6.2543501,4.2298138,4.6968368,4.2956572,2.1701513,72.31104,1.6796216,12554.2345
CHE,Switzerland,2024,Europe & Central Asia,High income,EU,2.3735802,2.168395,4.3913382,3.1216218,4.76726,4.3870242,1.8828053,4.6667938,5.4407681,5.5436166,6.241752,3.7221883,4.3713593,4.76324,2.1701513,57.8968835,2.2504947,18139.2918
