País,Sigla,Continente,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Lesotho,LSO,AF,304000.0,304000.0,357000.0,300000.0,293000.0,344000.0,426000.0,398000.0,423000.0,433000.0,1079000.0,1082000.0,1196000.0,1137000.0,1173000.0
Lithuania,LTU,EU,,,,4251000.0,4459000.0,4001000.0,4073000.0,4504000.0,4979000.0,5264000.0,5217000.0,5048000.0,5322000.0,5590000.0,6115000.0
Luxembourg,LUX,EU,878000.0,913000.0,908000.0,914000.0,877000.0,847000.0,805000.0,874000.0,950000.0,945000.0,1038000.0,1090000.0,1054000.0,1046000.0,1018000.0
Latvia,LVA,EU,3127000.0,3791000.0,4649000.0,5209000.0,5496000.0,4727000.0,5042000.0,5538000.0,5569000.0,5822000.0,6246000.0,6842000.0,6797000.0,7726000.0,7775000.0
"Macao SAR, China",MAC,AS,16673000.0,18711000.0,21998000.0,27003000.0,22933000.0,21753000.0,24965000.0,28002000.0,28082000.0,29325000.0,31526000.0,30715000.0,30950000.0,32611000.0,35804000.0
Morocco,MAR,AF,5732000.0,6077000.0,6777000.0,7701000.0,8209000.0,8661000.0,9752000.0,9784000.0,9830000.0,10349000.0,10507000.0,10542000.0,10677000.0,11540000.0,12489000.0
Monaco,MCO,EU,250000.0,286000.0,313000.0,328000.0,324000.0,265000.0,279000.0,295000.0,292000.0,328000.0,329000.0,331000.0,336000.0,355000.0,347000.0
Moldova,MDA,EU,69000.0,67000.0,63000.0,70000.0,73000.0,60000.0,64000.0,75000.0,89000.0,95599.9984741211,93900.0015258789,94400.0015258789,121000.0,145000.0,160000.0
Maldives,MDV,AS,617000.0,395000.0,602000.0,676000.0,683000.0,656000.0,792000.0,931000.0,958000.0,1125000.0,1205000.0,1234000.0,1286000.0,1390000.0,1484000.0
Mexico,MEX,SA,99250000.0,103146000.0,97701000.0,93582000.0,92948000.0,88044000.0,81953000.0,75732000.0,76749000.0,78100000.0,81042000.0,87129000.0,94853000.0,99349000.0,96497000.0
Marshall Islands,MHL,OC,9000.0,9199.99980926514,5800.00019073486,7199.99980926514,6000.0,5400.00009536743,4599.99990463257,4599.99990463257,4599.99990463257,,4900.00009536743,6300.00019073486,5400.00009536743,6000.0,6800.00019073486
North Macedonia,MKD,EU,165000.0,197000.0,202000.0,230000.0,255000.0,259000.0,262000.0,327000.0,351000.0,400000.0,425000.0,486000.0,510000.0,631000.0,707000.0
Mali,MLI,AF,113000.0,143000.0,153000.0,164000.0,190000.0,160000.0,169000.0,160000.0,134000.0,142000.0,168000.0,159000.0,173000.0,193000.0,203000.0
