Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Continent,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,SpecialNotes
"Egypt, Arab Rep.",EGY,AF,1278000000,1317000000,1347000000,1153000000,1078000000,1072000000,1132000000,1266000000,1321000000,1257000000,1629000000,1784000000,2446000000,2915000000,2538000000,2240000000,2203000000,2618000000,3014000000,3140000000,3442000000,4110000000,2160000000,2667000000,3518000000,2509000000,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30) for the years 1980 and after. The data from 1973 to 1979 refer to the calendar year data. Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1965-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.

The national accounts data for Egypt has been updated to reflect local constant prices in the year 2022, moving from the previous reference of 2017."
Spain,ESP,EU,4539000000,5057000000,4681000000,5288000000,5908000000,5969000000,6584000000,7372000000,9172000000,12295000000,15169000000,16830000000,19866000000,20543000000,17146000000,16926000000,17387000000,15395000000,16433000000,17976000000,17429000000,18803000000,22346000000,26329000000,27858000000,8742000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Estonia,EST,EU,91000000,101000000,120000000,155000000,215000000,204000000,192000000,231000000,319000000,399000000,439000000,586000000,670000000,809000000,605000000,633000000,806000000,796000000,1059000000,1181000000,1026000000,1162000000,1247000000,1463000000,1545000000,594000000,"The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
Ethiopia,ETH,AF,25000000,25000000,40000000,46000000,51000000,74000000,44000000,45000000,50000000,58000000,77000000,97000000,107000000,156000000,138000000,143000000,170000000,181000000,214000000,283000000,372000000,461000000,356000000,612000000,661000000,322000000,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 7). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated by using an inflation-adjustment method. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2015-2024. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Finland,FIN,EU,2278000000,2285000000,2080000000,2062000000,2035000000,1852000000,1852000000,2008000000,2435000000,2823000000,3056000000,3424000000,3983000000,4544000000,4404000000,4305000000,4882000000,4887000000,5297000000,5305000000,4796000000,5191000000,5610000000,6072000000,5678000000,1646000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Fiji,FJI,OC,64000000,70000000,69000000,52000000,66000000,83000000,65000000,55000000,70000000,94000000,106000000,101000000,92000000,93000000,95000000,88000000,98000000,91000000,91000000,89000000,104000000,109000000,128000000,149000000,165000000,75000000,
France,FRA,EU,16358000000,17748000000,17490000000,18819000000,25204000000,22537000000,22611000000,23779000000,28075000000,29469000000,31347000000,32347000000,37898000000,40928000000,36991000000,38297000000,44725000000,39836000000,42183000000,48777000000,39521000000,40436000000,44192000000,49464000000,50507000000,27758000000,"The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
"Micronesia, Fed. Sts.",FSM,OC,,,,,,,,,,,,,,,10000000,12000000,12000000,13000000,12000000,12000000,,,,,,,Fiscal year ends on September 30; reporting period for national accounts data: FY. The source for national accounts data is the Pacific and Virgin Islands Training Initiative.
Gabon,GAB,AF,137000000,100000000,86000000,84000000,91000000,84000000,225000000,194000000,194000000,214000000,274000000,,229000000,381000000,360000000,376000000,543000000,314000000,278000000,397000000,232000000,,,,,,
United Kingdom,GBR,EU,24926000000,25962000000,28529000000,33452000000,41531000000,41894000000,41980000000,46746000000,53888000000,62843000000,65798000000,69018000000,79463000000,77739000000,60554000000,60353000000,60446000000,61169000000,60427000000,67132000000,68395000000,67108000000,66639000000,70729000000,71516000000,21698000000,
