Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026-02-24,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Continent,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,SpecialNotes,
Italy,ITA,EU,20471000000,22362000000,23162000000,27322000000,30940000000,27967000000,26902000000,28749000000,26239000000,26948000000,28866000000,24425000000,24987000000,27901000000,30004000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
Jamaica,JAM,NA,286000000,249000000,273000000,298000000,268000000,216000000,193000000,159000000,184000000,178000000,198000000,235000000,256000000,271000000,286000000,,
Jordan,JOR,AS,524000000,585000000,837000000,883000000,1004000000,1064000000,1572000000,1161000000,1144000000,1096000000,1142000000,1160000000,1258000000,1386000000,1387000000,,
Japan,JPN,AS,38252000000,37565000000,26876000000,26511000000,27901000000,25199000000,27950000000,27262000000,27906000000,21861000000,19314000000,15974000000,18562000000,18188000000,20198000000,Fiscal year end: March 31, reporting period for national accounts data: CY.
Kazakhstan,KAZ,AS,844000000,753000000,821000000,1082000000,1078000000,1132000000,1273000000,1611000000,3272000000,3468000000,3515000000,2867000000,2447000000,2560000000,2687000000,,
Kenya,KEN,AF,108000000,124000000,178000000,265000000,266000000,227000000,212000000,197000000,174000000,233000000,206000000,217000000,145000000,262000000,229000000,Fiscal year end: June 30, reporting period for national accounts data: CY.
Kyrgyz Republic,KGZ,AS,50000000,58000000,92000000,112000000,304000000,147000000,148000000,247000000,350000000,350000000,390000000,399000000,461000000,292000000,314000000,,
Cambodia,KHM,AS,48000000,96000000,122000000,123000000,97000000,104000000,61000000,264000000,314000000,355000000,401000000,510000000,616000000,741000000,863000000,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1963-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
St. Kitts and Nevis,KNA,NA,10000000,11000000,14000000,12000000,15000000,11000000,13000000,14000000,15000000,16000000,39000000,37000000,37000000,42000000,41000000,,
"Korea, Rep.",KOR,AS,12350000000,15406000000,18809000000,21957000000,19056000000,15035000000,18766000000,19920000000,20645000000,21648000000,23192000000,25270000000,27243000000,31691000000,35133000000,,
Kuwait,KWT,AS,3701000000,4532000000,5573000000,6636000000,7570000000,6189000000,6434000000,8064000000,9249000000,9653000000,11268000000,12381000000,12337000000,12548000000,14318000000,,
Lao PDR,LAO,AS,4000000,5000000,9000000,8000000,41000000,83000000,203000000,237000000,605000000,904000000,1051000000,998000000,912000000,922000000,992000000,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
Lebanon,LBN,AS,3170000000,2908000000,3006000000,3114000000,3564000000,4012000000,4515000000,4004000000,4199000000,4388000000,4995000000,4741000000,5040000000,5587000000,6254000000,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1984-2024. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
St. Lucia,LCA,NA,37000000,39000000,39000000,42000000,45000000,47000000,48000000,48000000,45000000,46000000,45000000,46000000,51000000,54000000,55000000,,
Sri Lanka,LKA,AS,296000000,314000000,373000000,393000000,428000000,411000000,453000000,501000000,710000000,1188000000,1263000000,1420000000,1542000000,1599000000,1660000000,,
Lesotho,LSO,AF,271000000,262000000,260000000,268000000,243000000,239000000,270000000,290000000,245000000,206000000,170000000,174000000,258000000,303000000,342000000,Fiscal year end: March 31, reporting period for national accounts data: CY.
Lithuania,LTU,EU,636000000,743000000,909000000,1144000000,1530000000,1119000000,849000000,859000000,925000000,1069000000,1059000000,951000000,1012000000,1115000000,1400000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",
Luxembourg,LUX,EU,2878000000,2965000000,2996000000,3404000000,3736000000,3577000000,3538000000,3774000000,2998000000,3216000000,3281000000,2279000000,1997000000,2560000000,2813000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
